what,kind,bundleId,bundleVersion,description,time
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1520911419822
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1520911419822
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1520911419822
java.vm.specification.version,sysinfo,,,"1.8",1520911419822
java.vm.vendor,sysinfo,,,"Oracle Corporation",1520911419822
java.vm.version,sysinfo,,,"25.144-b01",1520911419822
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1520911443524
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1520911443557
started,bundle,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.ui",1520911445151
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1520911445295
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1520911448754
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1520911448787
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1520911448808
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1520911450086
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1520911450651
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1520911452033
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1520911452876
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1520911453077
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1520911453156
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1520911453236
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520911467344
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520911483559
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1520911487088
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1520911489224
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520911493541
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520911500419
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1520911500628
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1520911500668
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1520911502752
no handler,command,org.eclipse.datatools.sqltools.result.ui,,"org.eclipse.datatools.sqltools.result.removeAllInstances",1520911508204
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520911509389
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1520911510467
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1520911510772
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1520911510909
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1520911511329
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520911511439
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1520911511458
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520911515895
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520911528491
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520911531300
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520911531993
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1520911531997
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520911534451
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520911536852
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1520911536857
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520911542040
